"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sweden1","Sweden2","Sweden3","WL7","WL8","WL9","Silkie1","Silkie2","Silkie3","Tibetan1","Tibetan2","Tibetan3","WC.white1","WC.white2","WC.white3"
"921","gene-LOC121108100",85.6016178203849,-2.33549936148138,0.596394890012229,-3.91602845797939,9.00196268101698e-05,0.00135843800569941,124.972341581936,52.6854160434695,23.5605523121744,55.6052148108539,3.01655412150068,53.7904352807972,73.4884232928271,356.667230994384,155.259531091318,60.9525303799261,110.463009255381,173.472267780021,21.0543307056549,10.5092827164296,8.52714693910049
"922","gene-SPINK2",11027.7187826161,-2.02929924824325,0.51818085719957,-3.91619879439447,8.99560806628821e-05,0.00135843800569941,4636.07073610408,3983.60284639789,3919.98844504281,1426.67094000419,1666.64615212913,1623.49313756588,21651.9404988164,22019.4686684813,23622.5158562139,10833.9215536833,31367.0464536589,20161.6647776745,6279.68298438229,6721.16399182566,5501.90469726184
"923","gene-TRNAI-AAU-4",7.2761694279591,-4.26991796062233,1.09100380304965,-3.91375167408837,9.08730914042371e-05,0.00136881666182157,3.02352439311136,0,1.62486567670168,0,0,0,16.5514466875737,25.746679095136,14.1951571283491,10.9401977604996,14.0858870862567,20.188582888192,1.83081136570912,0.955389337857236,0
"924","gene-LOC107052701.s1",71.3367455202281,2.3979478116207,0.612716727274847,3.91363203398403,9.0918149833542e-05,0.00136881666182157,15.1176219655568,21.4644287584505,33.3097463723845,157.283321893558,85.9717924627695,508.564115382083,13.2411573500589,26.50393436264,20.4055383720018,25.7876090068918,28.9131366507374,50.8453198665577,31.1237932170551,42.9925202035756,8.52714693910049
"925","gene-LOC107052320.s1",3077.4799656422,-1.25658797444452,0.321211379465664,-3.91202819942077,9.15242215614786e-05,0.00137614483071415,3016.46950286077,2682.07793895366,2604.6596797528,700.625706616759,1342.3665840678,1000.01309226573,4784.69220844379,4923.67374931101,5224.70502055298,2814.7565952371,5685.50884550013,4359.98617855733,3475.79537779877,2118.09816202949,1428.77084268484
"926","gene-LOC416924",388.398308909122,-1.77901460256564,0.454739338131588,-3.9121634162445,9.1472977654429e-05,0.00137614483071415,238.858427055797,227.327813669044,298.162851674759,79.4360211583627,185.518078472292,17.1151384984355,497.867516362216,705.004654046225,1030.03608912583,455.581092455089,859.239112261657,569.766672622309,244.413317322168,206.364096977163,211.28375193549
"927","gene-LOC124418345",204.729286692141,1.02664723915787,0.262765876606378,3.90707976399761,9.34183215455965e-05,0.00140279530367785,139.082122083122,123.908293287419,157.611970640063,147.750999354555,203.617403201296,288.512334687912,103.943085197963,93.1423979029921,151.710741809231,150.818440555458,140.858870862567,243.01071995046,369.823895873243,471.962332901475,285.185692074361
"928","gene-PLA2G3",7.72932817879374,-3.44954843075441,0.883149119416157,-3.90596373241574,9.38505883600039e-05,0.00140836943430286,2.01568292874091,3.90262341062737,3.24973135340336,0,0,0,22.5099674951002,13.630594815072,14.1951571283491,21.8803955209991,24.4649617813932,4.48635175293157,2.74621704856368,1.91077867571447,0.947460771011165
"929","gene-NDUFAF8",725.722231232613,-3.07829186859321,0.78829414151833,-3.90500411770678,9.42237807165149e-05,0.00141029948230137,94.7370976508226,68.295909685979,73.9313882899265,17.4759246548398,43.7400347617599,7.33505935647235,1584.30447693455,1666.71884377631,1397.33577982186,1017.43839172646,2708.93849543062,1479.74835317526,246.244128687877,249.356617180739,230.232967355713
"930","gene-CCDC178",7374.4074587367,1.43842917401596,0.368320750630123,3.90537098861549,9.40809401437753e-05,0.00141029948230137,6748.50644542455,6591.53094054963,5843.8294062576,22407.3128483509,9833.96643609223,22134.7641180481,3682.36585905139,3061.58304651868,3135.3553307241,3430.53344061379,2837.93556664161,4075.85056753833,5360.61567879631,5607.18002388412,5864.78217255911
