IND	POP	SEX	Weights	Date
LDM28	LD	F	1491	W17
LDM29	LD	F	1627	W17
LDM30	LD	F	1683	W17
LAG24	LA	M	1865	W17
LAG38	LA	M	1819	W17
LAG48	LA	M	1941	W17
LAG2	LA	M	2017	W17
LAG4	LA	M	1845	W17
LAG5	LA	M	1752	W17
LAG8	LA	M	1889	W17
LAG15	LA	M	1850	W17
LAG18	LA	M	1834	W17
LAG25	LA	M	2003	W17
LAM447	LA	F	1677	W17
LAM573	LA	F	1739	W17
LAM732	LA	F	1551	W17
LAM8158	LA	F	1589	W17
LAM8151	LA	F	1566	W17
LAM8135	LA	F	1652	W17
LAM768	LA	F	1571	W17
LAM793	LA	F	1643	W17
LAM7104	LA	F	1528	W17
LAM7132	LA	F	1644	W17
CBG1	CB	M	1775	W17
CBG2	CB	M	1854	W17
CBG3	CB	M	1715	W17
CBG4	CB	M	2015	W17
CBG5	CB	M	1986	W17
CBG6	CB	M	2000	W17
CBG7	CB	M	1704	W17
CBG8	CB	M	1842	W17
CBG9	CB	M	1887	W17
CBG10	CB	M	1878	W17
CBM1	CB	F	1601	W17
CBM2	CB	F	1716	W17
CBM3	CB	F	1687	W17
CBM4	CB	F	1701	W17
CBM5	CB	F	1757	W17
CBM6	CB	F	1395	W17
CBM7	CB	F	1588	W17
CBM8	CB	F	1543	W17
CBM9	CB	F	1785	W17
CBM10	CB	F	1386	W17
CKG1	CK	M	2705	W17
CKG2	CK	M	2347	W17
CKG3	CK	M	2398	W17
CKG4	CK	M	2576	W17
CKG5	CK	M	2555	W17
CKG6	CK	M	2704	W17
CKG7	CK	M	2813	W17
CKG8	CK	M	2925	W17
CKG9	CK	M	2812	W17
CKG10	CK	M	2806	W17
CKM1	CK	F	2303	W17
CKM2	CK	F	2014	W17
CKM3	CK	F	2241	W17
CKM4	CK	F	2159	W17
CKM5	CK	F	2245	W17
CKM6	CK	F	2004	W17
CKM7	CK	F	2025	W17
CKM8	CK	F	2088	W17
CKM9	CK	F	2045	W17
CKM10	CK	F	2378	W17
CU3G44	CU3	M	2985	W17
CU3G635	CU3	M	2325	W17
CU3G65	CU3	M	2086	W17
CU3G611	CU3	M	1863	W17
CU3G47	CU3	M	3020	W17
CU3G632	CU3	M	2187	W17
CU3G525	CU3	M	2896	W17
CU3G517	CU3	M	3020	W17
CU3G42	CU3	M	2328	W17
CU3G511	CU3	M	2434	W17
CU3M539	CU3	F	1757	W17
CU3M6259	CU3	F	1208	W17
CU3M638	CU3	F	1857	W17
CU3M5146	CU3	F	2267	W17
CU3M625	CU3	F	2090	W17
CU3M616	CU3	F	1492	W17
CU3M630	CU3	F	1785	W17
CU3M5133	CU3	F	1980	W17
CU3M5176	CU3	F	2173	W17
CU3M5253	CU3	F	1890	W17
WJG1	WJ	M	1823	W17
WJG2	WJ	M	2822	W17
WJG3	WJ	M	1779	W17
WJG4	WJ	M	2000	W17
WJG5	WJ	M	1807	W17
WJG6	WJ	M	2014	W17
WJG7	WJ	M	2011	W17
WJG8	WJ	M	1993	W17
WJG9	WJ	M	1708	W17
WJG10	WJ	M	1937	W17
WJM1	WJ	F	1635	W17
WJM2	WJ	F	2006	W17
WJM3	WJ	F	2065	W17
WJM4	WJ	F	1958	W17
WJM5	WJ	F	1714	W17
WJM6	WJ	F	1600	W17
WJM7	WJ	F	1622	W17
WJM8	WJ	F	1911	W17
WJM9	WJ	F	1610	W17
WJM10	WJ	F	1891	W17
WBG1	WB	M	2035	W17
WBG2	WB	M	2004	W17
WBG3	WB	M	2024	W17
WBG4	WB	M	1905	W17
WBG5	WB	M	1667	W17
WBG6	WB	M	2013	W17
WBG7	WB	M	1705	W17
WBG8	WB	M	2079	W17
WBG9	WB	M	1534	W17
WBG10	WB	M	1942	W17
WBM1	WB	F	1408	W17
WBM2	WB	F	1592	W17
WBM3	WB	F	1096	W17
WBM4	WB	F	1528	W17
WBM5	WB	F	1608	W17
WBM6	WB	F	1464	W17
WBM7	WB	F	1632	W17
WBM8	WB	F	1432	W17
WBM9	WB	F	1480	W17
WBM10	WB	F	1824	W17
WZG1	WZ	M	1997.82	W17
WZG2	WZ	M	1767.15	W17
WZG3	WZ	M	2017.62	W17
WZG4	WZ	M	1991.88	W17
WZG5	WZ	M	2192.85	W17
WZG6	WZ	M	1867.14	W17
WZG7	WZ	M	2115.63	W17
WZG8	WZ	M	1864.17	W17
WZG9	WZ	M	2055.24	W17
WZG10	WZ	M	2077.02	W17
WZM1	WZ	F	1501	W17
WZM2	WZ	F	1859	W17
WZM3	WZ	F	1596	W17
WZM4	WZ	F	1532	W17
WZM5	WZ	F	1769	W17
WZM6	WZ	F	1686	W17
WZM7	WZ	F	1845	W17
WZM8	WZ	F	2006	W17
WZM9	WZ	F	1791	W17
WZM10	WZ	F	1763	W17
WYG1	WY	M	1933	W17
WYG2	WY	M	2018	W17
WYG3	WY	M	1776	W17
WYG4	WY	M	1987	W17
WYG5	WY	M	2008	W17
WYG6	WY	M	2056	W17
WYG7	WY	M	2034	W17
WYG8	WY	M	2038	W17
WYG9	WY	M	2289	W17
WYG10	WY	M	1897	W17
WYM1	WY	F	1624	W17
WYM2	WY	F	1754	W17
WYM3	WY	F	1708	W17
WYM4	WY	F	1668	W17
WYM5	WY	F	1613	W17
WYM6	WY	F	1735	W17
WYM7	WY	F	1523	W17
WYM8	WY	F	1653	W17
WYM9	WY	F	1802	W17
WYM10	WY	F	2027	W17
TCG1	TN	M	2000	W17
TCG2	TN	M	2314	W17
TCG3	TN	M	1985	W17
TNG4	TN	M	1843	W17
TNG5	TN	M	2106	W17
TNG6	TN	M	2087	W17
TNG7	TN	M	1911	W17
TNG8	TN	M	2103	W17
TNG9	TN	M	2147	W17
TNG10	TN	M	2008	W17
TCM1	TN	F	1877	W17
TCM2	TN	F	1811	W17
TCM3	TN	F	1791	W17
TNM4	TN	F	1921	W17
TNM5	TN	F	1881	W17
TNM6	TN	F	1725	W17
TNM7	TN	F	1710	W17
TNM8	TN	F	2003	W17
TNM9	TN	F	1808	W17
TNM10	TN	F	1966	W17
LDG1	LD	M	2418	W43
LDG2	LD	M	2230	W43
LDG3	LD	M	2344	W43
LDG4	LD	M	2690	W43
LDG5	LD	M	2069	W43
LDG6	LD	M	2233	W43
LDG7	LD	M	2245	W43
LDG8	LD	M	2390	W43
LDG9	LD	M	2302	W43
LDG10	LD	M	2415	W43
LDM16	LD	F	1585	W43
LDM17	LD	F	1768	W43
LDM18	LD	F	1613	W43
LDM19	LD	F	1716	W43
LDM20	LD	F	1816	W43
LDM21	LD	F	1604	W43
LDM22	LD	F	1656	W43
LDM28	LD	F	1725	W43
LDM29	LD	F	1710	W43
LDM30	LD	F	1858	W43
LAG24	LA	M	2415	W43
LAG38	LA	M	2420	W43
LAG48	LA	M	2209	W43
LAG2	LA	M	2595	W43
LAG4	LA	M	2606	W43
LAG5	LA	M	2551	W43
LAG8	LA	M	2528	W43
LAG15	LA	M	2575	W43
LAG18	LA	M	2346	W43
LAG25	LA	M	2262	W43
LAM447	LA	F	1653	W43
LAM573	LA	F	1987	W43
LAM732	LA	F	1741	W43
LAM8158	LA	F	1935	W43
LAM8151	LA	F	1859	W43
LAM8135	LA	F	1769	W43
LAM768	LA	F	2006	W43
LAM793	LA	F	1708	W43
LAM7104	LA	F	1735	W43
LAM7132	LA	F	1802	W43
CBG1	CB	M	2250	W43
CBG2	CB	M	2530	W43
CBG3	CB	M	2250	W43
CBG4	CB	M	2560	W43
CBG5	CB	M	2300	W43
CBG6	CB	M	2590	W43
CBG7	CB	M	2140	W43
CBG8	CB	M	2330	W43
CBG9	CB	M	2440	W43
CBG10	CB	M	2370	W43
CBM1	CB	F	1782	W43
CBM2	CB	F	1935	W43
CBM3	CB	F	1872	W43
CBM4	CB	F	1854	W43
CBM5	CB	F	1872	W43
CBM6	CB	F	1467	W43
CBM7	CB	F	1809	W43
CBM8	CB	F	1629	W43
CBM9	CB	F	1890	W43
CBM10	CB	F	1359	W43
CKG1	CK	M	3650	W43
CKG2	CK	M	3110	W43
CKG3	CK	M	3150	W43
CKG4	CK	M	3390	W43
CKG5	CK	M	3420	W43
CKG6	CK	M	3590	W43
CKG7	CK	M	3590	W43
CKG8	CK	M	3610	W43
CKG9	CK	M	3470	W43
CKG10	CK	M	3180	W43
CKM1	CK	F	2520	W43
CKM2	CK	F	2420	W43
CKM3	CK	F	2510	W43
CKM4	CK	F	2520	W43
CKM5	CK	F	2560	W43
CKM6	CK	F	2570	W43
CKM7	CK	F	2670	W43
CKM8	CK	F	2530	W43
CKM9	CK	F	2660	W43
CKM10	CK	F	2640	W43
CU3G44	CU3	M	3300	W43
CU3G635	CU3	M	2890	W43
CU3G65	CU3	M	2500	W43
CU3G611	CU3	M	2350	W43
CU3G47	CU3	M	3320	W43
CU3G632	CU3	M	2840	W43
CU3G525	CU3	M	3500	W43
CU3G517	CU3	M	3750	W43
CU3G42	CU3	M	3130	W43
CU3G511	CU3	M	2940	W43
CU3M539	CU3	F	2040	W43
CU3M6259	CU3	F	1510	W43
CU3M638	CU3	F	2070	W43
CU3M5146	CU3	F	2830	W43
CU3M625	CU3	F	2630	W43
CU3M616	CU3	F	1640	W43
CU3M630	CU3	F	2060	W43
CU3M5133	CU3	F	2480	W43
CU3M5176	CU3	F	2690	W43
CU3M5253	CU3	F	2210	W43
WJG1	WJ	M	2418	W43
WJG2	WJ	M	3132	W43
WJG3	WJ	M	2230	W43
WJG4	WJ	M	2547	W43
WJG5	WJ	M	2344	W43
WJG6	WJ	M	2690	W43
WJG7	WJ	M	2592	W43
WJG8	WJ	M	2485	W43
WJG9	WJ	M	2069	W43
WJG10	WJ	M	2506	W43
WJM1	WJ	F	1962	W43
WJM2	WJ	F	2355 	W43
WJM3	WJ	F	2424 	W43
WJM4	WJ	F	2299 	W43
WJM5	WJ	F	2012 	W43
WJM6	WJ	F	1878 	W43
WJM7	WJ	F	1904 	W43
WJM8	WJ	F	2244 	W43
WJM9	WJ	F	1890 	W43
WJM10	WJ	F	2220 	W43
WBG1	WB	M	2485	W43
WBG2	WB	M	2205	W43
WBG3	WB	M	2275	W43
WBG4	WB	M	2191	W43
WBG5	WB	M	1883	W43
WBG6	WB	M	2422	W43
WBG7	WB	M	2023	W43
WBG8	WB	M	2324	W43
WBG9	WB	M	1904	W43
WBG10	WB	M	2317	W43
WBM1	WB	F	1612	W43
WBM2	WB	F	1186	W43
WBM3	WB	F	1204	W43
WBM4	WB	F	1753	W43
WBM5	WB	F	1802	W43
WBM6	WB	F	1604	W43
WBM7	WB	F	1869	W43
WBM8	WB	F	1899	W43
WBM9	WB	F	1717	W43
WBM10	WB	F	2000	W43
WZG1	WZ	M	2643	W43
WZG2	WZ	M	2233	W43
WZG3	WZ	M	2753	W43
WZG4	WZ	M	2205	W43
WZG5	WZ	M	2903	W43
WZG6	WZ	M	2390	W43
WZG7	WZ	M	2718	W43
WZG8	WZ	M	2302	W43
WZG9	WZ	M	2705	W43
WZG10	WZ	M	2812	W43
WZM1	WZ	F	1698	W43
WZM2	WZ	F	1904	W43
WZM3	WZ	F	1638	W43
WZM4	WZ	F	1596	W43
WZM5	WZ	F	1798	W43
WZM6	WZ	F	1772	W43
WZM7	WZ	F	1903	W43
WZM8	WZ	F	2088	W43
WZM9	WZ	F	1836	W43
WZM10	WZ	F	1812	W43
WYG1	WY	M	2415	W43
WYG2	WY	M	2420	W43
WYG3	WY	M	2209	W43
WYG4	WY	M	2595	W43
WYG5	WY	M	2606	W43
WYG6	WY	M	2551	W43
WYG7	WY	M	2528	W43
WYG8	WY	M	2575	W43
WYG9	WY	M	2346	W43
WYG10	WY	M	2262	W43
WYM1	WY	F	1778	W43
WYM2	WY	F	1908	W43
WYM3	WY	F	1887	W43
WYM4	WY	F	1912	W43
WYM5	WY	F	1907	W43
WYM6	WY	F	2002	W43
WYM7	WY	F	1873	W43
WYM8	WY	F	2102	W43
WYM9	WY	F	1914	W43
WYM10	WY	F	2342	W43
TCG1	TN	M	2402	W43
TCG2	TN	M	2897	W43
TCG3	TN	M	2411	W43
TNG4	TN	M	2217	W43
TNG5	TN	M	2750	W43
TNG6	TN	M	2594	W43
TNG7	TN	M	2280	W43
TNG8	TN	M	2305	W43
TNG9	TN	M	2837	W43
TNG10	TN	M	2774	W43
TCM1	TN	F	1985	W43
TCM2	TN	F	1992	W43
TCM3	TN	F	1876	W43
TNM4	TN	F	2213	W43
TNM5	TN	F	2072	W43
TNM6	TN	F	1919	W43
TNM7	TN	F	1895	W43
TNM8	TN	F	2210	W43
TNM9	TN	F	1999	W43
TNM10	TN	F	2000	W43
LDG1	LD	M	1971	W66
LDG2	LD	M	2525	W66
LDG3	LD	M	2565	W66
LDG4	LD	M	2247	W66
LDG5	LD	M	2061	W66
LDG6	LD	M	2564	W66
LDG7	LD	M	2241	W66
LDG8	LD	M	2395	W66
LDG9	LD	M	2842	W66
LDG10	LD	M	2608	W66
LDM16	LD	F	1683	W66
LDM17	LD	F	1804	W66
LDM18	LD	F	1600	W66
LDM19	LD	F	2030	W66
LDM20	LD	F	2090	W66
LDM21	LD	F	1895	W66
LDM22	LD	F	1524	W66
LDM28	LD	F	1907	W66
LDM29	LD	F	1750	W66
LDM30	LD	F	2370	W66
LAG24	LA	M	3072	W66
LAG38	LA	M	2520	W66
LAG48	LA	M	2850	W66
LAG2	LA	M	2310	W66
LAG4	LA	M	2654	W66
LAG5	LA	M	2664	W66
LAG8	LA	M	2554	W66
LAG15	LA	M	2471	W66
LAG18	LA	M	2692	W66
LAG25	LA	M	2731	W66
LAM447	LA	F	2258	W66
LAM573	LA	F	2087	W66
LAM732	LA	F	2021	W66
LAM8158	LA	F	2163	W66
LAM8151	LA	F	2196	W66
LAM8135	LA	F	1899	W66
LAM768	LA	F	1938	W66
LAM793	LA	F	2333	W66
LAM7104	LA	F	2306	W66
LAM7132	LA	F	1878	W66
CBG1	CB	M	1859	W66
CBG2	CB	M	2980	W66
CBG3	CB	M	2550	W66
CBG4	CB	M	3157	W66
CBG5	CB	M	3185	W66
CBG6	CB	M	3385	W66
CBG7	CB	M	2905	W66
CBG8	CB	M	2854	W66
CBG9	CB	M	3045	W66
CBG10	CB	M	2890	W66
CBM1	CB	F	1789.2	W66
CBM2	CB	F	1938.6	W66
CBM3	CB	F	1872	W66
CBM4	CB	F	1854.9	W66
CBM5	CB	F	1881	W66
CBM6	CB	F	1467	W66
CBM7	CB	F	1800	W66
CBM8	CB	F	1631.7	W66
